Winners, Losers
Alabama,South Dakota State
Houston,Rice
Ohio State,Niagara
UNC,Brown
Auburn,Louisiana-Monroe
Virginia,Radford
Texas A&M,Abilene Christian
American,William & Mary
Utah Valley,Antelope Valley
Colorado State,Arkansas-Pine Bluff
Southern Illinois,Austin Peay
Middle Tennessee,Bethune-Cookman
Rhode Island,Bryant
East Carolina,Canisius
Nicholls State,Carver College
Butler,Central Arkansas
Little Rock,Champion Christian
Ole Miss,Charleston Southern
Rider,Coppin State
Cornell,Lafayette
Western Illinois,Culver-Stockton
Appalachian State,ETSU
Saint Louis,Eastern Illinois
UC-Davis,Eastern Washington
Portland State,Evergreen State
Manhattan,Fordham
Furman,Louisville
Idaho,George Fox
Boston University,Gordon
Texas Tech,Grambling
Wisconsin,Green Bay
UNC Wilmington,Guilford
Campbell,Hartford
Northwestern,High Point
Boston College,Holy Cross
Pepperdine,Idaho State
Eastern Michigan,Illinois State
Louisiana Tech,Jackson State
Xavier,Kent State
College of Charleston,Lipscomb
Fresno State,LIU
Louisiana,Southern Miss
Maine,Maine-Farmington
Marist,Columbia
Yale,UMass
Iowa,Kansas City
UAB,Morehead State
The Citadel,Morris College
Marquette,New Hampshire
UNC Greensboro,Northern Kentucky
North Dakota State,Cal Poly
Grand Canyon,North Florida
Georgia State,Northeastern
Indiana,Northern Illinois
Oakland,Oklahoma State
Bowling Green State,Ohio Wesleyan
Iowa State,Oregon State
Ottawa,Denver
George Mason,Penn
West Virginia,Pitt
Princeton,South Carolina
Elon,Randolph
Salisbury,Delaware State
Nebraska,Sam Houston State
San Diego,Nevada
BYU,San Diego State
Southeastern Louisiana,Southeastern Baptist
Washington State,Seattle
Loyola (MD),South Carolina State
Charlotte,USC Upstate
Chicago State,SIU-Edwardsville
Dixie State,Southern Utah
Oral Roberts,Southwestern Christian
Santa Clara,Stanford
Georgia Tech,Stetson
Arizona,Texas-Rio Grande Valley
Oklahoma,UTSA
Saint Mary's,Texas Southern
LSU,Texas State
Florida International,Trinity (FL)
Utah State,Richmond
Longwood,Virginia-Lynchburg
Presbyterian,VMI
Virginia Tech,Navy
Wake Forest,Western Carolina
Minnesota,Western Kentucky
Michigan State,Western Michigan
Quinnipiac,Western New England
Clemson,Wofford
Marshall,Wright State
Gonzaga,Texas
Michigan,Prairie View
Duke,Campbell
Memphis,North Carolina Central
Arkansas,Gardner-Webb
Maryland,Vermont
UConn,Coppin State
Air Force,Tulsa
Jacksonville State,Alabama A&M
Missouri State,Alabama State
La Salle,Albany (NY)
Portland,Alcorn State
Loyola Marymount,Arizona Christian
Houston Baptist,Barclay
Murray State,Bellarmine
UC-Irvine,Boise State
Maryland-Eastern Shore,Bryn Athyn
Notre Dame,Cal State Northridge
UNLV,California
Nicholls State,Carver College
UCF,Miami (FL)
DePaul,Central Michigan
Northwestern State,Champion Christian
NC State,Colgate
Dartmouth,Georgetown
San Francisco,Davidson
Delaware,Siena
Toledo,Detroit
Eastern Kentucky,Milwaukee
Belmont,Evansville
Loyola (IL),Florida Gulf Coast
UC-San Diego,George Washington
Cincinnati,Georgia
Georgia Southern,South Florida
Army,Hartford
Iona,Harvard
Hawaii-Hilo,Northern Colorado
Hofstra,Duquesne
Howard,Bradley
UIC,Valparaiso
Miami (OH),Lamar
Cal State Bakersfield,Life Pacific
Lipscomb,South Carolina State
College of Charleston,Loyola (MD)
UT Arlington,Mary Hardin-Baylor
UMass-Lowell,Dayton
Winthrop,Mercer
Rutgers,Merrimack
UT-Martin,Miami-Hamilton
California Baptist,Mississippi Valley State
Monmouth,Towson
Mississippi State,Montana
St. Joseph's,Mount St. Mary's
Ball State,Omaha
Colorado,New Mexico
NJIT,Lehigh
North Alabama,Virgin Islands
Jacksonville,North Carolina A&T
Ohio,Cleveland State
James Madison,Old Dominion
Hawaii,Pacific
Akron,Point Park
Hampton,Regent
Utah,Sacramento State
St. John's (NY),St. Peter's
Wichita State,South Alabama
Southern,Tulane
USC,Temple
New Orleans,Spring Hill
St. Thomas (MN),St. Francis (NY)
Norfolk State,Tennessee State
New Mexico State,UTEP
Butler,Troy
Wagner,VCU
Florida Atlantic,Warner Southern
Youngstown State,Southeast Missouri State
Tennessee,ETSU
Florida,Florida State
St. Bonaventure,Canisius
Little Rock,Arkansas Baptist
Wyoming,Arkansas-Pine Bluff
Binghamton,Sacred Heart
Elon,Bluefield College (VA)
Brown,Central Connecticut
Rider,Delaware State
Syracuse,Drexel
Northern Iowa,Dubuque
Boston College,Fairfield
Indiana State,Hanover
Seattle,Idaho State
UC-Riverside,La Sierra
Lipscomb,Loyola (MD)
Longwood,Mid-Atlantic Christian
Minnesota,Princeton
George Mason,Morgan State
Chattanooga,UNC Asheville
Tennessee Tech,Oakwood
Southeastern Louisiana,Paul Quinn
Penn,Bucknell
Colorado State,Peru State
Kennesaw State,Piedmont
Oklahoma State,Prairie View
UAB,Rhodes
Montana State,Rocky Mountain
Drake,South Dakota
South Dakota State,Stephen F. Austin
Texas A&M,Texas A&M-Corpus Christi
Vanderbilt,Texas State
East Carolina,Western Carolina
South Carolina,Western Kentucky
Seton Hall,Yale
Gonzaga,Alcorn State
UCLA,Long Beach State
Baylor,Nicholls State
Marquette,Illinois
Ohio State,Bowling Green State
Northern Arizona,Benedictine
Utah,Bethune-Cookman
Clemson,Bryant
Buffalo,North Texas
Washington State,UCSB
Kennesaw State,Carver College
Arkansas State,Central Baptist
Central Michigan,Eastern Illinois
McNeese State,Champion Christian
Presbyterian,The Citadel
Northern Colorado,Colorado College
UNC Greensboro,Coppin State
Wofford,Erskine
Saint Francis (PA),Franciscan
Belmont,Furman
New Mexico,Grambling
Quinnipiac,Holy Cross
Fresno State,Idaho
Denver,IUPUI
Louisiana Tech,Jarvis Christian
Morehead State,Kentucky Christian
SIU-Edwardsville,Knox
Georgia Tech,Lamar
Florida A&M,LeMoyne-Owen
LSU,Liberty
Colorado,Maine
Old Dominion,Manhattan
Marshall,Milligan
Kansas City,Missouri
North Dakota,Montana
Louisville,Navy
South Florida,North Carolina A&T
UNLV,North Dakota State
Arizona State,North Florida
SMU,Northwestern State
Tulsa,Oregon State
Appalachian State,William Peace
UMass,Penn State
UMBC,Penn St. - York
Texas Tech,Prairie View
Providence,Wisconsin
Virginia Tech,Radford
Ohio,Robert Morris
Sacramento State,Cal Poly
San Francisco,Samford
California,San Diego
Stanford,San Jose State
TCU,Southern Miss
Saint Mary's,Southern Utah
USC Upstate,St. Andrews
Fordham,St. Thomas (MN)
Texas A&M-Commerce,UTSA
Washington,Texas Southern
Utah Valley,Pepperdine
Eastern Washington,Walla Walla
Weber State,Duquesne
Seton Hall,Michigan
Villanova,Howard
Purdue,Wright State
Duke,Gardner-Webb
Memphis,Saint Louis
BYU,Oregon
Kentucky,Mount St. Mary's
